Geneid,logFC,AveExpr,t,P.Value,adj.P.Val,B
IGFBP4,-7.657022854808941,7.189419865922864,-94.15807542366947,2.612949165625988e-293,4.0469356677215303e-289,662.0120048859956
LTBP4,-5.460651364344905,5.868737514291588,-91.50483059856833,4.023665761477915e-288,3.1159267656884976e-284,650.1140262440789
LRP1,-4.168801231837885,5.5805796611475715,-90.6725231248913,1.819160738784118e-286,9.391720507429473e-283,646.3167670509542
COL6A1,-6.555408898829938,7.0317159025232,-90.08911559949088,2.680919110393033e-285,1.0380518795441824e-281,643.6361202945783
IGFBP5,-7.798719161470119,7.102548351620077,-89.53373787029963,3.5227942292358745e-284,1.0912207404481044e-280,641.0695765579125
C1S,-6.062294391849799,6.549121990221548,-84.20340589734387,4.072487705329607e-273,1.0512448263357492e-269,615.6778565259017
ARL2,-4.003941751210387,5.451555644097703,-84.00625737458424,1.0735987327806344e-272,2.3754138819009235e-269,614.7113226932614
NDRG2,-5.4149061797628235,5.713534199216666,-83.54934425164464,1.0230042470410744e-271,1.98053622227152e-268,612.4634732608916
NBL1,-5.809416486472697,6.338493211792934,-81.74639372685877,8.311652599391999e-268,1.4303430606598142e-264,603.4855174655031
PHF1,-4.590277426435502,5.699091787651085,-80.94383700334957,4.8359359209764006e-266,7.489897554408249e-263,599.4325263208722
LTBP3,-4.214707494014435,5.476372185103261,-80.5895144944296,2.9410315882776455e-265,4.140972476294925e-262,597.6318533986339
CEBPD,-6.250242936215022,6.41440738790373,-80.14039671840682,2.928287967182199e-264,3.7794436696431583e-261,595.3393683650745
CTDNEP1,-4.082234190361163,5.578131483777181,-79.76522453482855,2.014372571491525e-263,2.3998924913277494e-260,593.4156426592863
BST2,-6.77903566179971,6.790828032221785,-79.5705456092181,5.496551063814675e-263,6.0807559197401204e-260,592.4142723068912
SERPINF1,-5.5377988295180085,5.997646452506548,-78.91714259153056,1.6221544169890783e-261,1.674928507355123e-258,589.0375577057106
NISCH,-3.531368557499802,5.281200230578995,-78.49737800247247,1.4456116917786877e-260,1.3993521176417697e-257,586.8553040672384
KANK2,-4.333539739277424,5.511756916412112,-78.24237005241827,5.4866594717543445e-260,4.9986695234430164e-257,585.5245868644943
VAMP2,-4.370687527150375,5.444235453128915,-77.7493510983999,7.30910602226841e-259,6.289079670716285e-256,582.9410629538208
TCEAL1,-5.093930064890725,5.531063656623781,-77.35678301499907,5.803845204820292e-258,4.731050238539825e-255,580.8736778073358
CALD1,-4.822577907830119,6.111509214983646,-77.28902389520638,8.30679653463915e-258,6.432783236424558e-255,580.5159122051352
TSPYL2,-6.238970907827303,6.3507392087037235,-76.40870110108972,8.980208038190588e-256,6.623117242642658e-253,575.8428630072428
COL6A2,-6.27828764246194,6.771422266182429,-76.32916524852024,1.3741513788300336e-255,9.674025706963437e-253,575.4183593293172
STAT5B,-3.232865512033068,5.09712403350576,-76.22176357945175,2.4421550044765875e-255,1.6445259438840604e-252,574.8445190726594
RARRES2,-5.833676824187249,5.979757126450663,-76.076188927794675,5.33037828394722e-255,3.439870785907273e-252,574.065602667384
PBXIP1,-3.9876845033635595,5.664488252238498,-76.02306305870444,7.089337626367263e-255,4.391986446287047e-252,573.7810238835741
SORBS3,-3.5375684178687976,5.2297858364994765,-75.75813906860759,2.946532804088956e-254,1.7552269257588367e-251,572.3593316194429
C1R,-6.729808492213199,6.633740083327602,-75.38922039182201,2.1576794957593444e-253,1.2377088900118788e-250,570.3723762830462
VPS51,-3.749380214205019,5.389319139323303,-74.09419183146086,2.5017080881638526e-250,1.3838019596243482e-247,563.3304133502661
CCNL2,-4.396282704645259,5.9241708997054285,-73.98957341816751,4.4439790912648276e-250,2.373391316052057e-247,562.7569171975169
RNASE4,-4.934930738837529,5.061015904477302,-73.84655179206754,9.758729453699283e-250,5.03810672596315e-247,561.9717749272698
HTRA1,-5.6773196453032,6.20880602855551,-73.79808066728009,1.2743806222901207e-249,6.366970025170771e-247,561.7053880427873
KLHDC8B,-4.3070586418662735,5.3282001972012445,-73.45129570692696,8.638498007447154e-249,4.1810330356044226e-246,559.7951428204971
MFAP4,-5.903285281932632,5.604902177685844,-73.05195247975847,7.901047193764463e-248,3.708224816273455e-245,557.5857889337359
DDX39B,-4.491654291616152,6.136918191082826,-72.989502675108,1.1179146416758163e-247,5.0924299912573656e-245,557.2393535488384
SSBP3,-3.6678101479222356,5.182960530181421,-72.5359030453293,1.4011145934622083e-246,6.200132235297909e-244,554.7154178100357
RBP1,-5.568313364406306,5.931619276661605,-72.20015620754367,9.183167052538343e-246,3.9508025363809403e-243,552.8385563421211
EIF1B,-4.215231446224268,5.435244173165977,-72.15177992563615,1.204773821554792e-245,5.043118094119086e-243,552.5675150369032
SRSF4,-3.710452371323011,5.420006374168706,-71.59052849651103,2.8432099943922995e-244,1.1588325366617877e-241,549.4115970057342
TIMP2,-5.941290740361479,6.581314990498399,-71.36061556374285,1.0443128994728354e-243,4.147261073598788e-241,548.112724771144
SAT2,-4.772537220866696,5.765411294590169,-71.33074697344014,1.236934013740729e-243,4.7894085012041024e-241,547.9437244192429
CDK9,-4.013719302682498,5.424764238847222,-71.17772169156733,2.947108224478299e-243,1.1132881019687779e-240,547.0769453830012
USP11,-3.874064330277053,5.456860122324895,-71.14364799983487,3.5763943190952215e-243,1.3188379812892094e-240,546.8837272926513
SNRNP70,-5.3869422344564555,6.420093634896433,-71.0585644746835,5.800535858317381e-243,2.0892720784562696e-240,546.4009106578865
DCN,-5.755540589609273,6.261632607234822,-71.0259704721664,6.982004434374118e-243,2.45766556089969e-240,546.2158223954893
ARL6IP4,-5.069233305942522,5.98091568544201,-70.83415993894643,2.081661996274028e-242,7.164617999620477e-240,545.1251487130816
XAB2,-3.375251546903156,5.040009074604638,-70.81716399598609,2.293509330248343e-242,7.722146197149204e-240,545.0283858621294
GAS6,-4.952133483744458,5.589934090376162,-70.65889636671272,5.6605208975310575e-242,1.865322290658745e-239,544.1263781940446
UBXN6,-4.362014539185591,5.6097212495028295,-70.56882836787855,9.472620616971324e-242,3.0564989190760805e-239,543.6122950577305
TPM2,-5.1628770182687305,6.222726947890172,-70.56395512404349,9.740379390690914e-242,3.078755020469814e-239,543.5844641322686
RABAC1,-4.724557657946332,5.772837664305755,-70.55192096284641,1.0434537223618425e-241,3.2322022503880434e-239,543.5157305031782
TRIP10,-3.681597824969793,5.379069379163715,-70.54002955116383,1.1169148594739846e-241,3.3919171261829555e-239,543.4478024675938
PODN,-5.188594326495986,5.127056142081382,-70.33117455992081,3.695291357539094e-241,1.1006283181839517e-238,542.2531686582122
TAX1BP3,-4.071323809524382,5.5018282719071365,-70.27069230283324,5.228403526550523e-241,1.5278776192304625e-238,541.9066560852315
SLC4A3,-4.829386201410628,5.435719918810199,-70.18279264094161,8.66177209534241e-241,2.484324559493764e-238,541.4026161832999
EPHX1,-4.895936698869522,6.254955423646964,-69.99212781043212,2.593880391703235e-240,7.304367183036311e-238,540.3074624770512
ADD1,-3.9222445434972633,5.63958293945423,-69.98683568358483,2.674156870786936e-240,7.395953859776441e-238,540.2770293719807
