Geneid,logFC,AveExpr,t,P.Value,adj.P.Val,B
CDH16,8.512612718570267,3.0905788720801377,111.05002819632416,0,0,1404.19421230169
DEFB1,10.27144911309567,3.5414584657424775,90.68042995743153,0,0,1196.085221051009
CA2,6.853662772648551,3.1943700074362025,89.19429724646172,0,0,1179.5095747028045
HNF1B,6.586660642988258,2.799957653632191,87.279561607908,0,0,1157.844418827955
SULT1C2,6.3443836235713125,2.495222827930444,85.67115890688743,0,0,1139.3706111475688
ACY1,6.20960087527332,2.2072100888511623,83.41932934515168,0,0,1113.0745370119344
HGD,6.31913073488197,2.843436687429744,81.5083905197974,0,0,1090.3543006879768
CA12,6.74172745498264,3.177177086810063,80.40988637012858,0,0,1077.1215958205512
SERINC2,5.58934521923193,3.0929736550101734,79.49747455513503,0,0,1066.0336196830788
SLC3A1,7.165597378319667,1.9876539976738226,79.21799080156546,0,0,1062.619462087631
KIF12,6.798298467774137,3.1528767222958227,75.24054939761098,0,0,1013.1100202689712
PDZK1IP1,8.645839556075153,3.4966437091957596,74.02377276791863,0,0,997.613097616766
ARHGAP8,6.326306618679156,1.579687942446393,73.8585019159034,0,0,995.4952659012224
TNNT2,5.969978356607322,1.099952874130513,72.7489470675108,0,0,981.1962895510334
STAR,-6.409838055600146,2.3820169639032605,-72.46802202494005,0,0,977.5535407926849
PDZK1,6.12008670205377,2.83265550972149,72.36344819179214,0,0,976.1952075872777
HPN,6.0571181057927515,3.2099826669478104,71.54317007690244,0,0,965.4964709266613
ATP6V1B1,6.782463166026439,1.2300201911166695,71.27301998849906,0,0,961.955817503518
UGT2B7,6.694301700025594,2.9855607307765193,68.97172046082868,0,0,931.4465140309331
KCNJ16,6.044655008398751,2.7907453826308752,68.32406021364459,0,0,922.7468359837951
AP1M2,6.358050477133457,2.5290665546932996,68.05065583341825,0,0,919.0592535126809
PAX8,7.34645812846915,3.2558071097168066,66.95430277342541,0,0,904.1815776258832
HOGA1,5.425216530617283,2.2901240135918117,66.56966273353171,0,0,898.9274897984459
TSPAN1,7.955494198050565,3.266435183130559,66.0445452872548,0,0,891.7254695150446
TFCP2L1,7.370866281778474,2.086376630179716,65.83105310345024,0,0,888.7877976055682
MRPL53,3.4671909626032553,0.7191301325778526,65.3393599938882,0,0,882.0008600375447
AMN,6.3262289931238715,2.659921487199659,64.35262027150284,0,0,868.2911967757807
CRB3,4.360900546098284,2.5468355667282125,64.28941168821993,0,0,867.4088987339028
KLHDC8A,-6.813777241793148,2.7743715441076944,-62.94843564134644,0,0,848.5744656679801
GGT1,5.527946214462517,2.238791388953917,62.599287907947804,0,0,843.63399057376
FXYD2,6.79812329357006,3.0844585065807175,62.44167026592729,0,0,841.3987191390705
WWC1,4.857423770813064,2.6887123307952696,62.40273962669922,0,0,840.8461440138097
HINT2,3.9175047250331567,2.0091308514599304,61.4225766449648,0,0,826.871624551989
PROK1,-5.707727931940977,1.953091244985462,-61.34285518975184,0,0,825.7297360828175
HOXB7,4.480689112464999,2.644250000578628,61.163920052109425,0,0,823.1638707987552
RIPK4,4.099724807118034,2.3980557633759707,60.61491287399779,0,0,815.2663160930279
TMEM52B,6.99796279790701,1.8341163773806757,60.54750693511807,0,0,814.2940711263343
PRSS8,6.693460606561858,2.808785278021419,60.53412937484331,0,0,814.101049171683
OGDHL,5.468557951509649,2.8881046963012658,60.53367985345029,0,0,814.0945627345437
FOLR1,6.09866721337483,2.8943776573533473,60.01613828849206,0,0,806.6098278176742
GLDC,5.3444317858120725,2.00032574135491,59.507971267282315,0,0,799.2280031203258
TMEM139,4.786957714058312,2.390583119451011,59.41674353595834,0,0,797.8993661744278
PRAP1,6.964918951153492,1.7261087120118,59.3557201826014,0,0,797.0100418414415
GPR160,4.244677794487938,2.484006450206099,59.33308499778795,0,0,796.6800490206151
VAV3,4.727486379556333,2.6377983878314915,59.313871114809444,0,0,796.3998840868818
SLC4A9,6.455245274195074,1.17516980955189,59.22753220074255,0,0,795.1403719091553
ST14,5.635986671761492,2.8563603039599172,59.096971634064474,0,0,793.2339778061541
DMTN,4.052507257220583,3.0578513730293473,59.09464143374669,0,0,793.1999337107031
TMEM184A,4.270019661863206,1.9632144662548132,59.05651891310332,0,0,792.6428690839917
RAB17,4.445059340959171,2.9166739127614396,58.97230405832645,0,0,791.4116347370309
RNASEH2A,3.0982735582720533,0.8090180912759468,58.930024794944835,0,0,790.7931697716574
ESRP2,4.698565019828696,2.3222290937516865,58.804669152129456,0,0,788.9581374709278
MT1G,9.033346374861004,3.15871945689756,58.70161375498248,0,0,787.4480729200862
FXYD4,8.38659766298339,1.6126672615789683,58.6915460998768,0,0,787.3004807195351
HOXB6,4.663135058186622,1.892765041919497,58.54957027042068,0,0,785.2177553947737
ALDOB,8.91242950328659,2.702406770302479,58.42719411130843,0,0,783.4205192738483
GRB7,5.109175571956893,2.6681762323772658,58.407020458498984,0,0,783.1240653157165
GCGR,6.415255409533756,1.153390187496042,57.98728468699325,0,0,776.9444203724136
CLDN7,5.772514301627673,2.852861240808804,57.94932188662185,0,0,776.3844154396035
EVPL,4.249148206858184,2.1623949403383507,57.77631207057721,0,0,773.8299871259755
HKDC1,4.577536763879159,2.3578868402582622,57.68400721693635,0,0,772.4656031275225
WDR72,5.261929332352209,2.365986873273253,57.55750956214736,0,0,770.5940703775055
AQP2,8.68028824972185,1.5044384947801939,56.857304234553766,0,0,760.1982583936282
SDC1,5.403952525435528,3.324729931647044,56.7359938469524,0,0,758.390945713052
RAP1GAP,4.921940159354553,2.7905398080771384,56.68272510311273,0,0,757.5967526021866
ELF3,5.83564715533581,2.6427346624354513,56.54201384115124,0,0,755.497155951362
FAM83H,4.139973127055246,2.5034624289988106,56.534939849931206,0,0,755.3915373314936
PTPN3,4.134595163750513,2.468439548642103,56.28946292959932,0,0,751.7225544441094
PNP,4.918992135311911,3.186929872359333,55.96089539815215,0,0,746.799886133162
BLNK,4.150923186915546,2.0981157778968917,55.85446679637765,0,0,745.2024601988669
LAD1,6.339242777084382,2.1847579597948394,55.71093649481262,0,0,743.0459233657273
IGSF3,3.8133775797490874,2.4788843111931658,55.58574557841593,0,0,741.162837747687
MAL2,5.9197259981257,2.637237117487921,55.37987743995852,0,0,738.0619828841092
PRRG2,4.42603637255001,1.8060309224902642,55.346913437221936,0,0,737.5649778755791
PAX2,5.171624837470346,2.3496671547372148,55.28016676360138,0,0,736.5582104910268
RORC,4.383285481783488,2.500191443865229,55.24844465432332,0,0,736.0795386105123
S100A2,5.638838609449538,2.3799851510689924,55.096629160423284,0,0,733.7869806975461
HOXB8,5.183759086372097,2.10046511821768,54.985066014396885,0,0,732.100445224494
MT1F,6.382668328148487,3.0456555953881477,54.818917502991795,8e-323,1.55e-320,729.585860145835
DCDC2,5.243567818930781,2.473133244700988,54.739636885290764,2.77e-322,5.3567e-320,728.3847752245343
CALML4,3.9296031479599702,1.5504876436685124,54.715604717966926,3.95e-322,7.5577e-320,728.0205388883877
ADAP1,4.165596667481346,1.9552797854765063,54.571173563381926,3.52e-321,6.64424e-319,725.8300031975558
SAMD10,3.333689364511903,2.244458403635574,54.32519569897255,1.47686e-319,2.755858e-317,722.0933976622405
RBP1,-4.813484532120921,3.537121768095866,-54.29639164713437,2.2895e-319,4.221402e-317,721.6553507992178
SLC5A2,7.014776462282388,1.4668949818420176,54.15516248629883,1.96747e-318,3.58495856e-316,719.5060787740213
DDT,3.4753255974192263,0.7727147912345504,54.1068086934226,4.111407e-318,7.4043568e-316,718.7696484899968
ATP6V1C2,5.152995282217642,2.192031671805606,54.0950487058163,4.91876e-318,8.7565226e-316,718.5904997392876
MT1H,8.365368924479073,2.0232319339805733,53.964573472429215,3.599608e-317,6.33531034e-315,716.6017269368027
USP43,3.449465891236261,1.781987100570449,53.90384683801253,9.096622e-317,1.583016655e-314,715.6753831540539
ACMSD,5.371447386499272,2.441599201714933,53.881321074440606,1.283154e-316,2.1859109687e-314,715.3316522444628
TJP3,4.970580830068416,1.626004081873996,53.88126080858205,1.2843356e-316,2.1859109687e-314,715.3307325363251
LRRC8E,2.9624059830180984,0.8657229209445058,53.87794421331583,1.35106935e-316,2.274495873e-314,715.2801177881997
TFAP2A,4.868654220276305,1.4443627820337321,53.872392040722524,1.47064114e-316,2.449170961e-314,715.1953827334396
MAL,6.7447720368844015,3.1191087438682095,53.8620117689091,1.72332153e-316,2.8394472117e-314,715.0369529531715
PRSS22,6.095465592234533,1.3422015445402402,53.79378396120107,4.88778847e-316,7.968638718e-314,713.9952898247907
CLDN4,5.60319072159665,2.9114738724903986,53.747238969429816,9.95676494e-316,1.6063580774e-313,713.2843385229238
VSIG8,4.319233397264636,0.9608623049946388,53.658191747358316,3.8869839e-315,6.2063512009e-313,711.9234438891294
AQP6,6.502718736981775,1.2482610446785378,53.6187308682406,7.10994281e-315,1.12366116602e-312,711.3200575322046
DGCR6,3.8064022990570576,0.9234435417593715,53.529326272929595,2.794781362e-314,4.37228017545e-312,709.9522860603429
RHPN1,4.048990120828257,2.64157223484762,53.48207152710497,5.7641173166e-314,8.92746489989e-312,709.2289544312615
SCNN1A,6.0099027947330015,2.9081478683743547,53.28101803450817,1.257958934407e-312,1.9290364332765e-310,706.1483502299145
GALNT14,4.2581501659633165,2.7138124150922742,53.26765070894261,1.54441341506e-312,2.3450857816113e-310,705.9433560998459
FGFR3,4.701115904265707,2.534468177366457,53.15785768649689,8.335373259973e-312,1.253381175247173e-309,704.2588006790163
BHMT,5.87419761946122,2.7513736733275973,53.05017535874965,4.361468882688e-311,6.49523365914174e-309,702.605195808324
BSPRY,4.97559717178785,2.0151501485566943,53.03382539642049,5.608047128081e-311,8.272136563782813e-309,702.3539963951074
TMPRSS2,6.238844118416776,1.4880629865377242,53.006511372644674,8.535638384686e-311,1.247169502849201e-308,701.9342731560865
ALS2CL,4.815780021556293,2.7336054895530237,52.86936370289746,7.0438909815915e-310,1.0195867618961578e-307,699.8254035551115
GATA4,-4.396316981965677,1.8535472103883572,-52.80644012556467,1.85640500912805e-309,2.6622222945717828e-307,698.8570819495333
BBOX1,5.364716301794493,2.5491869596396057,52.56540892512943,7.633609599734319e-308,1.0846728943182122e-305,695.1434218131313
SPINT1,4.794992193586752,3.2868100736394137,52.48160308540113,2.7838855144201535e-307,3.9197108043035763e-305,693.850535697548
FBP1,5.3036156533669665,2.695061522005612,52.4441728189318,4.962978250112029e-307,6.924919561958118e-305,693.2728170796802
HOXB5,4.871738608046735,2.016432004068968,52.42676108835848,6.4948555452457174e-307,8.981457382568363e-305,693.0040171539861
GRAMD1C,3.6685897177951006,2.203205558305262,52.33899881149353,2.5215595332830472e-306,3.4560985886272425e-304,691.6485944881987
