Geneid,logFC,AveExpr,t,P.Value,adj.P.Val,B
HSPA8,9.868578285886905,3.2849358220646763,456.51664320368474,0,0,968.7537872669559
DYNC1H1,9.096713467584715,3.03966638068184,408.49757107817635,0,0,940.4032572548203
CLTC,9.025092277827852,2.9773446866538738,391.4388109642562,0,0,929.2428919552237
EEF1A1,9.93639440192126,3.2751787564955515,377.39249841262745,0,0,919.5694604947012
VCP,8.431320307668576,2.842242162040581,342.81470604173734,0,0,893.677674747095
EEF2,9.296640961034633,3.105242353369631,341.1087935919724,0,0,892.316819468275
COPA,7.657771770650716,2.588148881386893,338.9645105895495,0,0,890.5943459140224
RPS27A,8.788903681157722,2.9318517153136985,326.0786394325969,0,0,879.9548294755203
HNRNPK,8.153130340990275,2.7669741177219755,314.3307132703002,0,0,869.8012193512753
PPIA,9.050439213763719,3.0341861685475253,312.27478512741646,0,0,867.97745729649
CAND1,7.442782717412044,2.5090100488334826,310.95350877485805,0,0,866.7977974073698
ACTB,10.862788894221158,3.594006816197328,309.2822817708615,0,0,865.2971028142309
ACTG1,10.863596771685673,3.5934656167308057,308.8011690408236,0,0,864.8632913285016
XRCC6,8.041312716555382,2.7191459186215434,308.6745625734709,0,0,864.7489986093906
PPP2R1A,6.591211591011502,2.219954340759349,307.777223663677,0,0,863.9373329385984
MYH9,10.637128975435193,3.5623636539775507,306.0861018401424,0,0,862.3999962739647
CCT8,8.048646663489215,2.694241935355293,305.62777912291824,0,0,861.9816140490084
RPS3A,8.028120963220271,2.7049916625693764,303.86665222388433,0,0,860.3670094386924
HNRNPU,8.666801370533753,2.906966332896668,301.04453417767996,0,0,857.7564438718185
RACK1,7.472659206714963,2.5476080548898197,299.5874147432507,0,0,856.3972078770933
PSMC2,6.469954655736604,2.197457222361866,297.76106251495474,0,0,854.6824913690691
XRCC5,7.7996788151963505,2.6395731143212147,293.7985921490495,0,0,850.9193046679762
RPS3,8.01787056969836,2.715301597236578,291.79737066353556,0,0,848.9960257076978
CCT4,7.476766332876226,2.501876681811714,290.11817017003995,0,0,847.3702752619871
EIF3A,6.742910398732827,2.289463919652262,289.7550591819639,0,0,847.0172758063892
UBA1,8.612045804852494,2.8809524418778163,285.6856985915132,0,0,843.0255812763992
DDX39B,7.018111574963685,2.4099412921129226,283.33496837470693,0,0,840.6894392243387
YWHAZ,9.003683372449094,2.9746594639968453,281.6277621498886,0,0,838.9786789648124
PTBP1,6.874968974577345,2.331512259860234,280.9755616692696,0,0,838.3219450528029
RAB1A,7.5197845469402695,2.511707486405228,278.6987716506466,0,0,836.0154235335023
CCT7,7.230327991202903,2.4119449018043264,278.45808196172305,0,0,835.7703182996896
EIF3C,6.1073743434984165,2.0787356574020674,276.98032377293976,0,0,834.2600689172154
